epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1352.16,0.97086,0.50397,1.09786,0.91619,0.85394,0.92197,0.50214,1.06722,0.46437,1.25769,0.000397792,0.000397792,0.000397792
55,1376.96,0.98131,0.51316,1.11058,0.90484,0.8611,0.91457,0.51393,1.06452,0.43736,1.25281,0.000393788,0.000393788,0.000393788
56,1401.63,0.97273,0.50861,1.09578,0.90743,0.86741,0.90711,0.51986,1.00499,0.44294,1.21827,0.000389785,0.000389785,0.000389785
57,1426.59,0.96534,0.49623,1.11483,0.90312,0.8532,0.90577,0.50532,1.0506,0.44539,1.25744,0.000385781,0.000385781,0.000385781
58,1451.33,0.96178,0.4995,1.10625,0.90853,0.85128,0.91012,0.52038,1.03013,0.48568,1.24864,0.000381777,0.000381777,0.000381777
59,1476.15,0.96563,0.49757,1.09401,0.92184,0.85453,0.91073,0.51468,1.04509,0.46097,1.25814,0.000377773,0.000377773,0.000377773
60,1500.9,0.94456,0.48791,1.09206,0.91102,0.88355,0.91344,0.51319,1.04612,0.45,1.2623,0.000373769,0.000373769,0.000373769
61,1525.83,0.96758,0.50048,1.10625,0.90097,0.87225,0.90708,0.51766,1.01048,0.4524,1.24832,0.000369765,0.000369765,0.000369765
62,1550.84,0.96233,0.49473,1.08336,0.92144,0.8636,0.91343,0.52104,1.00773,0.43966,1.22976,0.000365761,0.000365761,0.000365761
63,1575.87,0.93589,0.49643,1.08009,0.90045,0.86944,0.91998,0.54101,1.03909,0.43874,1.25293,0.000361757,0.000361757,0.000361757
64,1600.47,0.95367,0.49334,1.09887,0.92987,0.84391,0.91334,0.52534,1.02943,0.43458,1.24606,0.000357753,0.000357753,0.000357753
65,1625.4,0.93022,0.48293,1.08381,0.90632,0.8518,0.90985,0.53643,0.95409,0.42551,1.20204,0.000353749,0.000353749,0.000353749
66,1650.05,0.94913,0.50022,1.09131,0.90815,0.86696,0.91109,0.5292,0.98335,0.42928,1.21486,0.000349745,0.000349745,0.000349745
67,1674.3,0.91032,0.47821,1.06546,0.9094,0.84893,0.9082,0.53622,0.99816,0.44859,1.21536,0.000345741,0.000345741,0.000345741
68,1698.23,0.90079,0.47397,1.06985,0.90498,0.87531,0.90279,0.53812,0.95164,0.42778,1.19672,0.000341737,0.000341737,0.000341737
69,1722.15,0.92501,0.47491,1.07676,0.89005,0.89181,0.91124,0.55009,0.95473,0.42499,1.18911,0.000337734,0.000337734,0.000337734
70,1746.47,0.89166,0.47186,1.06544,0.90453,0.85033,0.90375,0.5323,1.00706,0.42752,1.23481,0.00033373,0.00033373,0.00033373
71,1772.33,0.94637,0.4775,1.08475,0.9269,0.85895,0.91097,0.54427,0.97936,0.42973,1.22494,0.000329726,0.000329726,0.000329726
72,1797.64,0.90146,0.46597,1.06245,0.90663,0.8806,0.91461,0.52903,1.00548,0.42812,1.24021,0.000325722,0.000325722,0.000325722
73,1822.37,0.89213,0.4594,1.08006,0.90694,0.8854,0.91705,0.55134,0.95142,0.41108,1.2005,0.000321718,0.000321718,0.000321718
74,1847.06,0.89798,0.46257,1.05576,0.88141,0.89252,0.90244,0.53414,0.99427,0.42855,1.2202,0.000317714,0.000317714,0.000317714
75,1871.68,0.91089,0.46271,1.06588,0.8805,0.88964,0.91515,0.54476,0.97498,0.43033,1.23101,0.00031371,0.00031371,0.00031371
76,1896.07,0.9034,0.53721,1.06577,0.91968,0.87977,0.91958,0.55477,0.94924,0.413,1.1836,0.000309706,0.000309706,0.000309706
77,1920.6,0.90841,0.459,1.05282,0.90694,0.88,0.92139,0.55577,0.9611,0.41513,1.186,0.000305702,0.000305702,0.000305702
78,1946.06,0.89184,0.45692,1.06193,0.89051,0.88741,0.92067,0.55659,0.9659,0.41908,1.18068,0.000301698,0.000301698,0.000301698
79,1971.08,0.88141,0.45851,1.04147,0.89506,0.88682,0.91453,0.55226,0.933,0.42868,1.18759,0.000297694,0.000297694,0.000297694
80,1995.32,0.87378,0.44494,1.04142,0.90429,0.89187,0.91896,0.55215,0.94695,0.42916,1.21204,0.00029369,0.00029369,0.00029369
81,2019.89,0.87588,0.44603,1.04907,0.91852,0.87967,0.91813,0.56471,0.92633,0.41758,1.19435,0.000289687,0.000289687,0.000289687
82,2044.33,0.85244,0.44555,1.03443,0.91294,0.88474,0.92744,0.56252,0.95013,0.41476,1.19711,0.000285683,0.000285683,0.000285683
83,2068.26,0.85968,0.43775,1.03131,0.89181,0.88541,0.91771,0.57189,0.93024,0.40158,1.18148,0.000281679,0.000281679,0.000281679
84,2092.78,0.84531,0.44398,1.03427,0.90795,0.87502,0.9176,0.55817,0.91822,0.40783,1.17416,0.000277675,0.000277675,0.000277675
85,2117.41,0.85009,0.42954,1.02685,0.91143,0.86755,0.92423,0.56338,0.94481,0.41378,1.19616,0.000273671,0.000273671,0.000273671
86,2142.29,0.84741,0.43949,1.03178,0.91108,0.8934,0.92028,0.57731,0.90665,0.40293,1.17864,0.000269667,0.000269667,0.000269667
87,2169.41,0.84627,0.42776,1.03173,0.91145,0.90245,0.92216,0.56819,0.94118,0.4123,1.19072,0.000265663,0.000265663,0.000265663
88,2196.04,0.83833,0.43152,1.03631,0.9222,0.8782,0.92812,0.56807,0.93455,0.39737,1.19805,0.000261659,0.000261659,0.000261659
89,2222.37,0.85017,0.42761,1.05343,0.89857,0.89493,0.92594,0.5813,0.89538,0.39448,1.17653,0.000257655,0.000257655,0.000257655
90,2248.51,0.81744,0.43263,1.025,0.90529,0.90324,0.92815,0.56743,0.91442,0.40226,1.19422,0.000253651,0.000253651,0.000253651
91,2274.75,0.80944,0.43569,1.00422,0.90467,0.8723,0.92088,0.58179,0.90951,0.40999,1.18021,0.000249647,0.000249647,0.000249647
92,2301.32,0.84136,0.43464,1.01851,0.89824,0.89678,0.93047,0.56524,0.93177,0.40982,1.18263,0.000245643,0.000245643,0.000245643
93,2328.57,0.83151,0.43432,1.03043,0.91114,0.87905,0.91149,0.57363,0.90197,0.39649,1.15803,0.00024164,0.00024164,0.00024164
94,2355.58,0.83193,0.42347,1.025,0.90734,0.8924,0.92237,0.56929,0.90027,0.38824,1.17167,0.000237636,0.000237636,0.000237636
95,2381.76,0.81568,0.4255,1.02782,0.90986,0.87834,0.92351,0.5769,0.88263,0.38551,1.16228,0.000233632,0.000233632,0.000233632
96,2407.85,0.80959,0.48743,1.00843,0.91736,0.88647,0.93434,0.57872,0.92355,0.38759,1.17639,0.000229628,0.000229628,0.000229628
97,2443.34,0.81317,0.42116,1.01267,0.8915,0.88878,0.92279,0.58262,0.88894,0.37795,1.18268,0.000225624,0.000225624,0.000225624
98,2472.15,0.80651,0.41266,1.01523,0.90629,0.89729,0.92688,0.58727,0.89771,0.3822,1.16184,0.00022162,0.00022162,0.00022162
99,2498.6,0.80526,0.40967,1.0113,0.92338,0.87295,0.9305,0.58821,0.8891,0.39217,1.1683,0.000217616,0.000217616,0.000217616
100,2524.84,0.82433,0.42175,1.02821,0.90355,0.89729,0.92232,0.58229,0.90139,0.37089,1.17342,0.000213612,0.000213612,0.000213612
101,2550.48,0.82301,0.44434,1.04005,0.90832,0.89511,0.9185,0.58195,0.89764,0.37968,1.18298,0.000209608,0.000209608,0.000209608
102,2576.65,0.81176,0.45926,1.02032,0.91292,0.90634,0.92807,0.587,0.89303,0.37465,1.17206,0.000205604,0.000205604,0.000205604
103,2602.41,0.76998,0.40645,1.00954,0.90162,0.89612,0.92052,0.58743,0.86822,0.37079,1.18034,0.0002016,0.0002016,0.0002016
104,2629.93,0.7924,0.41327,1.00024,0.91128,0.90105,0.92471,0.59813,0.84681,0.35762,1.17347,0.000197596,0.000197596,0.000197596
105,2662.64,0.77101,0.40621,1.00384,0.91276,0.88609,0.92004,0.59498,0.86898,0.37511,1.17329,0.000193593,0.000193593,0.000193593
106,2696.55,0.78351,0.40499,1.00713,0.91986,0.89799,0.92672,0.60276,0.84707,0.36282,1.16499,0.000189589,0.000189589,0.000189589
107,2731.51,0.77227,0.40935,0.99743,0.90352,0.90012,0.9235,0.60457,0.85785,0.36112,1.1647,0.000185585,0.000185585,0.000185585
108,2757.08,0.77836,0.39777,1.00058,0.9263,0.89799,0.92836,0.6064,0.87916,0.37722,1.15616,0.000181581,0.000181581,0.000181581
109,2783.45,0.79019,0.40922,1.02205,0.92115,0.89882,0.93087,0.59863,0.86275,0.37391,1.16976,0.000177577,0.000177577,0.000177577
110,2821.09,0.76104,0.39378,0.98982,0.90591,0.90481,0.92664,0.60703,0.84839,0.36239,1.15125,0.000173573,0.000173573,0.000173573
111,2860.11,0.7702,0.41495,1.00434,0.92616,0.89716,0.9289,0.6135,0.83148,0.36738,1.14985,0.000169569,0.000169569,0.000169569
112,2901.29,0.76368,0.39634,0.99956,0.91132,0.90481,0.92793,0.60192,0.83839,0.35329,1.15057,0.000165565,0.000165565,0.000165565
113,2927.2,0.77718,0.4005,0.99154,0.92536,0.89711,0.94262,0.60776,0.87123,0.36792,1.16625,0.000161561,0.000161561,0.000161561
114,2963.26,0.74913,0.38734,0.99418,0.93742,0.89117,0.9366,0.61408,0.85825,0.36295,1.16222,0.000157557,0.000157557,0.000157557
115,3004.38,0.76531,0.39447,0.99139,0.9335,0.90022,0.93429,0.61201,0.85372,0.36448,1.17406,0.000153553,0.000153553,0.000153553
116,3046.11,0.74067,0.39189,0.98306,0.92393,0.89271,0.93458,0.60354,0.88276,0.36838,1.17888,0.000149549,0.000149549,0.000149549
117,3086.45,0.74821,0.38905,0.97588,0.93514,0.88952,0.92855,0.6043,0.85641,0.3655,1.17233,0.000145546,0.000145546,0.000145546
118,3137.44,0.74903,0.38251,0.9884,0.91467,0.90115,0.92986,0.60727,0.85685,0.36595,1.15512,0.000141542,0.000141542,0.000141542
119,3178.54,0.74087,0.38473,0.98563,0.91928,0.90255,0.93686,0.60721,0.86459,0.36276,1.17907,0.000137538,0.000137538,0.000137538
120,3217.39,0.73885,0.38254,0.98088,0.92537,0.89328,0.93048,0.60859,0.86886,0.35993,1.17095,0.000133534,0.000133534,0.000133534
121,3264.93,0.73537,0.38586,0.98607,0.92836,0.9108,0.94224,0.60906,0.85905,0.35961,1.17061,0.00012953,0.00012953,0.00012953
122,3312.16,0.73164,0.3769,0.98219,0.93,0.89986,0.93627,0.60952,0.86349,0.35588,1.17337,0.000125526,0.000125526,0.000125526
123,3360.86,0.73101,0.3843,0.97238,0.93108,0.90372,0.93729,0.62055,0.83311,0.34775,1.15876,0.000121522,0.000121522,0.000121522
124,3410.56,0.72315,0.38426,0.97882,0.93792,0.90256,0.93529,0.62028,0.84946,0.34566,1.16731,0.000117518,0.000117518,0.000117518
125,3448.76,0.72786,0.39046,0.98798,0.91634,0.91416,0.93702,0.61974,0.85261,0.35033,1.17327,0.000113514,0.000113514,0.000113514
126,3474.63,0.70801,0.37014,0.96073,0.92643,0.90628,0.9276,0.6148,0.83721,0.36308,1.17776,0.00010951,0.00010951,0.00010951
127,3499.58,0.71927,0.37781,0.98242,0.93728,0.91373,0.93853,0.62007,0.84061,0.35324,1.18021,0.000105506,0.000105506,0.000105506
128,3524.57,0.71942,0.38407,0.98736,0.9357,0.91685,0.93681,0.61904,0.82829,0.34745,1.17505,0.000101502,0.000101502,0.000101502
129,3549.38,0.70493,0.36881,0.96631,0.94022,0.91178,0.93874,0.63183,0.8286,0.35429,1.17987,9.74985e-05,9.74985e-05,9.74985e-05
130,3574.29,0.72074,0.38428,0.97124,0.92305,0.92169,0.94032,0.62466,0.84595,0.35183,1.16655,9.34946e-05,9.34946e-05,9.34946e-05
131,3599.21,0.69759,0.37518,0.98407,0.94296,0.8963,0.94353,0.62285,0.84628,0.34794,1.16003,8.94907e-05,8.94907e-05,8.94907e-05
132,3624.26,0.7101,0.37455,0.97146,0.9529,0.90418,0.94468,0.63177,0.83999,0.34914,1.15591,8.54867e-05,8.54867e-05,8.54867e-05
133,3649.43,0.70436,0.36747,0.96949,0.93934,0.89502,0.9443,0.63385,0.83293,0.34234,1.16072,8.14828e-05,8.14828e-05,8.14828e-05
134,3674.86,0.71582,0.42396,0.98744,0.93494,0.89855,0.93288,0.62688,0.83403,0.34817,1.16323,7.74789e-05,7.74789e-05,7.74789e-05
135,3699.79,0.70245,0.37843,0.96503,0.93759,0.91178,0.93612,0.62326,0.84121,0.35017,1.16697,7.3475e-05,7.3475e-05,7.3475e-05
136,3724.84,0.70072,0.36131,0.96189,0.94237,0.90577,0.93789,0.62342,0.82602,0.34448,1.16498,6.94711e-05,6.94711e-05,6.94711e-05
137,3750.08,0.67822,0.36001,0.96097,0.93497,0.90994,0.93767,0.62799,0.82068,0.33984,1.15295,6.54672e-05,6.54672e-05,6.54672e-05
138,3775.22,0.6824,0.36094,0.95549,0.93657,0.90997,0.94059,0.62602,0.81163,0.33655,1.16596,6.14632e-05,6.14632e-05,6.14632e-05
139,3800.03,0.69903,0.3583,0.95686,0.93047,0.91503,0.94019,0.62764,0.81249,0.33503,1.16309,5.74593e-05,5.74593e-05,5.74593e-05
140,3825.21,0.67536,0.3503,0.95458,0.95039,0.88803,0.94211,0.62645,0.806,0.33923,1.1556,5.34554e-05,5.34554e-05,5.34554e-05
141,3849.22,0.67279,0.34158,0.96096,0.91344,0.91011,0.94149,0.62837,0.81866,0.33532,1.1684,4.94515e-05,4.94515e-05,4.94515e-05
142,3872.46,0.67186,0.32774,0.95478,0.90464,0.91985,0.94469,0.62722,0.81657,0.33676,1.16834,4.54476e-05,4.54476e-05,4.54476e-05
143,3895.62,0.63437,0.3188,0.92909,0.9129,0.91233,0.9414,0.63346,0.81839,0.33859,1.16555,4.14436e-05,4.14436e-05,4.14436e-05
144,3918.84,0.65044,0.32089,0.96897,0.93041,0.89595,0.93507,0.6263,0.81582,0.34213,1.16011,3.74397e-05,3.74397e-05,3.74397e-05
145,3951.05,0.6538,0.35427,0.95378,0.91789,0.91282,0.93594,0.62461,0.82366,0.33808,1.16251,3.34358e-05,3.34358e-05,3.34358e-05
146,3985.5,0.64966,0.31463,0.95562,0.92064,0.90634,0.93716,0.63389,0.81429,0.33353,1.16392,2.94319e-05,2.94319e-05,2.94319e-05
147,4009.07,0.61695,0.31325,0.93299,0.92525,0.90938,0.94131,0.63164,0.80909,0.33085,1.16794,2.5428e-05,2.5428e-05,2.5428e-05
148,4032.55,0.62735,0.31339,0.9518,0.92298,0.90995,0.94336,0.63178,0.81038,0.33155,1.16705,2.14241e-05,2.14241e-05,2.14241e-05
149,4067.81,0.62919,0.31284,0.94389,0.93888,0.89933,0.94517,0.63361,0.8075,0.33278,1.16598,1.74201e-05,1.74201e-05,1.74201e-05
150,4101.86,0.61115,0.30856,0.93823,0.93671,0.8986,0.93968,0.63183,0.80787,0.33178,1.16458,1.34162e-05,1.34162e-05,1.34162e-05
